Date,Name,Year,Letterboxd URI
2021-02-12,The Platform,2019,https://boxd.it/mUm6
2021-02-12,The Devil All the Time,2020,https://boxd.it/i2tY
2021-02-12,BlacKkKlansman,2018,https://boxd.it/hxL8
2021-02-12,Deepwater Horizon,2016,https://boxd.it/9oiU
2021-02-12,My Cousin Vinny,1992,https://boxd.it/1WpO
2021-02-12,Searching,2018,https://boxd.it/hDPg
2021-02-12,Sorry to Bother You,2018,https://boxd.it/f21E
2021-02-12,Trading Places,1983,https://boxd.it/28sK
2021-02-12,American Murder: The Family Next Door,2020,https://boxd.it/rUk0
2021-02-12,Die Hard,1988,https://boxd.it/2a7u
2021-02-12,The Social Dilemma,2020,https://boxd.it/opQI
2021-02-12,Nacho Libre,2006,https://boxd.it/1YTG
2021-02-12,Knives Out,2019,https://boxd.it/jWEA
2021-02-12,Parasite,2019,https://boxd.it/hTha
2021-02-12,What Dreams May Come,1998,https://boxd.it/1SoM
2021-02-12,Extreme Job,2019,https://boxd.it/kOQg
2021-02-12,Jumanji: The Next Level,2019,https://boxd.it/ixu4
2021-02-12,Lady Bird,2017,https://boxd.it/dGNE
2021-02-12,The Shining,1980,https://boxd.it/29Nu
2021-02-12,Joker,2019,https://boxd.it/h4cS
2021-02-12,Eat Pray Love,2010,https://boxd.it/16Cc
2021-02-12,The Invisible Man,2020,https://boxd.it/kWlA
2021-02-12,5 Centimeters per Second,2007,https://boxd.it/16G4
2021-02-12,Your Name.,2016,https://boxd.it/cUqs
2021-02-12,Men in Black,1997,https://boxd.it/2a0I
2021-02-12,Ip Man 2,2010,https://boxd.it/18gs
2021-02-12,Ip Man,2008,https://boxd.it/1NrQ
2021-02-12,The Disaster Artist,2017,https://boxd.it/cTqc
2021-02-12,Harriet,2019,https://boxd.it/ijo2
2021-02-12,Once Upon a Time in China,1991,https://boxd.it/1VOy
2021-02-12,Gone Girl,2014,https://boxd.it/6hQu
2021-02-12,A Simple Favor,2018,https://boxd.it/hq92
2021-02-12,Late Night,2019,https://boxd.it/iZq0
2021-02-12,Gemini Man,2019,https://boxd.it/gaUu
2021-02-12,American Psycho,2000,https://boxd.it/28Vs
2021-02-12,Hustlers,2019,https://boxd.it/jIBM
2021-02-12,It Chapter Two,2019,https://boxd.it/h10u
2021-02-12,Aladdin,2019,https://boxd.it/eSjy
2021-02-12,Aladdin,1992,https://boxd.it/29yE
2021-02-12,Baby Driver,2017,https://boxd.it/bhF2
2021-02-12,Bring It On,2000,https://boxd.it/28x6
2021-02-12,It,2017,https://boxd.it/bC8e
2021-02-12,Christine,2016,https://boxd.it/bhFm
2021-02-12,Ready or Not,2019,https://boxd.it/kOf0
2021-02-12,Good Boys,2019,https://boxd.it/iW1G
2021-02-12,47 Meters Down: Uncaged,2019,https://boxd.it/hflG
2021-02-12,Scary Stories to Tell in the Dark,2019,https://boxd.it/eJTW
2021-02-12,Them That Follow,2019,https://boxd.it/hvwg
2021-02-12,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2021-02-12,The Farewell,2019,https://boxd.it/kIky
2021-02-12,Jaws,1975,https://boxd.it/2a5e
2021-02-12,Crawl,2019,https://boxd.it/iwYi
2021-02-12,Midsommar,2019,https://boxd.it/jhxe
2021-02-12,Confession of Murder,2012,https://boxd.it/4uK6
2021-02-12,Bad Genius,2017,https://boxd.it/ggpM
2021-02-12,The Amazing Spider-Man,2012,https://boxd.it/27PI
2021-02-12,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2021-02-12,Toy Story 4,2019,https://boxd.it/9ALu
2021-02-12,Child's Play,2019,https://boxd.it/jpX0
2021-02-12,The Secret Life of Pets,2016,https://boxd.it/aJ5E
2021-02-12,The Secret Life of Pets 2,2019,https://boxd.it/ewPM
2021-02-12,Rocketman,2019,https://boxd.it/iehK
2021-02-12,Ma,2019,https://boxd.it/i8Wi
2021-02-12,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y
2021-02-12,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU
2021-02-12,Zombieland,2009,https://boxd.it/1En6
2021-02-12,Rampant,2018,https://boxd.it/jzsc
2021-02-12,Big Hero 6,2014,https://boxd.it/5rje
2021-02-12,17 Again,2009,https://boxd.it/1Jnq
2021-02-12,Forrest Gump,1994,https://boxd.it/728
2021-02-12,Soul Mate,2016,https://boxd.it/eJXY
2021-02-12,Avengers: Endgame,2019,https://boxd.it/9vE4
2021-02-12,Jumanji,1995,https://boxd.it/1ZLI
2021-02-12,October Sky,1999,https://boxd.it/1Q7u
2021-02-12,The Party,1980,https://boxd.it/2aYy
2021-02-12,Us,2019,https://boxd.it/gnV6
2021-02-12,The Little Mermaid,1989,https://boxd.it/1WYO
2021-02-12,Green Book,2018,https://boxd.it/hErk
2021-02-12,Clueless,1995,https://boxd.it/1Ygk
2021-02-12,The Silence of the Lambs,1991,https://boxd.it/2aHW
2021-02-12,Ocean's Eight,2018,https://boxd.it/eaai
2021-02-12,The Social Network,2010,https://boxd.it/17ue
2021-02-12,Flipped,2010,https://boxd.it/Tb8
2021-02-12,Into the Wild,2007,https://boxd.it/22m2
2021-02-12,The Greatest Showman,2017,https://boxd.it/acjI
2021-02-12,Sausage Party,2016,https://boxd.it/6CCe
2021-02-12,A Quiet Place,2018,https://boxd.it/fVJQ
2021-02-12,Stand by Me,1986,https://boxd.it/2aOe
2021-02-12,Chungking Express,1994,https://boxd.it/1UDa
2021-02-12,The Sixth Sense,1999,https://boxd.it/29Js
2021-02-12,Little Miss Sunshine,2006,https://boxd.it/29EW
2021-02-12,Castaway on the Moon,2009,https://boxd.it/1GXU
2021-02-12,The Blair Witch Project,1999,https://boxd.it/26ua
2021-02-12,Interstellar,2014,https://boxd.it/4VZ8
2021-02-12,Slumdog Millionaire,2008,https://boxd.it/1S3E
2021-02-12,Billionaire Boys Club,2018,https://boxd.it/dqUY
2021-02-12,Uncut Gems,2019,https://boxd.it/gXGc
2021-02-12,On Your Wedding Day,2018,https://boxd.it/jnnu
2021-02-12,The Boss Baby,2017,https://boxd.it/9mfO
2021-02-12,The Beauty Inside,2015,https://boxd.it/bfC6
2021-02-12,Coco,2017,https://boxd.it/bYJQ
2021-02-12,A Beautiful Mind,2001,https://boxd.it/2amk
2021-02-12,Ralph Breaks the Internet,2018,https://boxd.it/edAy
2021-02-12,Wreck-It Ralph,2012,https://boxd.it/2TTS
2021-02-12,Moana,2016,https://boxd.it/8tfY
2021-02-12,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE
2021-02-12,Catch Me If You Can,2002,https://boxd.it/29VS
2021-02-12,The Talented Mr. Ripley,1999,https://boxd.it/2924
2021-02-12,Captain America: The First Avenger,2011,https://boxd.it/28b0
2021-02-12,Avengers: Infinity War,2018,https://boxd.it/9vEe
2021-02-12,Jobs,2013,https://boxd.it/3RcY
2021-02-12,A Tale of Two Sisters,2003,https://boxd.it/248m
2021-02-12,Crazy Rich Asians,2018,https://boxd.it/gfnK
2021-02-12,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2021-02-12,The Devil Wears Prada,2006,https://boxd.it/2awE
2021-02-12,3 Idiots,2009,https://boxd.it/1Dsa
2021-02-12,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2021-02-12,Moss,2010,https://boxd.it/GUk
2021-02-12,The Purge: Anarchy,2014,https://boxd.it/71zk
2021-02-12,Jurassic Park,1993,https://boxd.it/2aA2
2021-02-12,The Lost World: Jurassic Park,1997,https://boxd.it/2azS
2021-02-12,Jurassic Park III,2001,https://boxd.it/2azI
2021-02-12,Jurassic World,2015,https://boxd.it/4n0g
2021-02-12,Zootopia,2016,https://boxd.it/84xS
2021-02-12,The First Purge,2018,https://boxd.it/fJfk
2021-02-12,Hereditary,2018,https://boxd.it/hNVe
2021-02-12,The Wailing,2016,https://boxd.it/9fLy
2021-02-12,Black Panther,2018,https://boxd.it/8MHs
2021-02-12,No Strings Attached,2011,https://boxd.it/YUs
2021-02-12,The Big Short,2015,https://boxd.it/ajZw
2021-02-12,Murder on the Orient Express,2017,https://boxd.it/dHjA
2021-02-12,The Parent Trap,1998,https://boxd.it/1XJq
2021-02-12,The Breakfast Club,1985,https://boxd.it/27q4
2021-02-12,Pitch Perfect,2012,https://boxd.it/3OsE
2021-02-12,Pitch Perfect 2,2015,https://boxd.it/7tNa
2021-02-12,Peppermint Candy,1999,https://boxd.it/ZQc
2021-02-12,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU
2021-02-12,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
